Date,News,News_Sentiment,Open,High,Low,Close,Adj Close,Volume,GPTavg_Sentiment,VADERavg_Sentiment
2021-09-30,"- TSLA stock experienced volatility amid general market trends.
- Investors focused on Tesla's expansion plans and production updates.",neutral,260.3333435058594,263.0433349609375,258.3333435058594,258.49334716796875,258.49334716796875,53868000.0,,
2021-10-01,"- TSLA announced record Q3 delivery numbers, surpassing expectations.
- Stock price surged, boosting investor confidence in Tesla's growth trajectory.",positive,259.4666748046875,260.260009765625,254.52999877929688,258.4066772460937,258.4066772460937,51094200.0,,
2021-10-02,"- TSLA Q3 deliveries exceed expectations, boosting investor confidence.
- Stock price reacts positively to strong sales performance.",positive,,,,,,,0.4523809523809524,0.2158095238095238
2021-10-03,"- Tesla Q3 deliveries exceeded expectations, boosting investor confidence.
- TSLA stock hit a record high, traders optimistic about future growth.",positive,,,,,,,0.4406779661016949,0.2810559322033898
2021-10-04,"- TSLA Q3 production and delivery numbers exceeded Wall Street expectations.
- Stock price surged in response to positive sales reports.",positive,265.5,268.989990234375,258.7066650390625,260.510009765625,260.510009765625,91449900.0,0.2727272727272727,0.10751735537190084
2021-10-05,"- TSLA reported strong Q3 delivery numbers, exceeding expectations.
- Stock price surged in response to positive delivery news.
- Traders optimistic about TSLA's future performance.",positive,261.6000061035156,265.7699890136719,258.0666809082031,260.1966552734375,260.1966552734375,55297800.0,0.3176470588235294,0.13404352941176473
2021-10-06,"- TSLA reported record Q3 deliveries, surpassing Wall Street estimates.
- Stock price surged, traders optimistic about future growth potential.",positive,258.7333374023437,262.2200012207031,257.739990234375,260.9166564941406,260.9166564941406,43898400.0,0.15,0.2467775
2021-10-07,"- TSLA Q3 delivery numbers exceed expectations.
- Stock price hits new high post-delivery report.",positive,261.82000732421875,268.3333435058594,261.1266784667969,264.53668212890625,264.53668212890625,57587400.0,0.3873239436619718,0.18221408450704227
2021-10-08,"- TSLA stock sees gains amidst overall positive market sentiments.
- Tesla’s sales numbers continue to impress investors.",positive,265.4033203125,265.4599914550781,260.3033447265625,261.8299865722656,261.8299865722656,50215800.0,0.26744186046511625,0.21465697674418605
2021-10-09,"- No specific TSLA daily news for 2021-10-09 available in training data.
- General sentiment was cautiously optimistic amid ongoing production challenges.",neutral,,,,,,,0.5432098765432098,0.34588888888888886
2021-10-10,"- Tesla sales in China surged, boosting investor confidence.
- TSLA stock outperformed market expectations, reaching new highs.",positive,,,,,,,0.30434782608695654,0.23612898550724637
2021-10-11,"- TSLA stock rises amid global electric vehicle market growth optimism.
- Traders optimistic on Tesla's upcoming Q3 earnings report expectations.",positive,262.54998779296875,267.0799865722656,261.8333435058594,263.9800109863281,263.9800109863281,42600900.0,0.4742268041237113,0.26511030927835055
2021-10-12,"- TSLA achieved record Q3 deliveries, boosting investor confidence.
- Stock continues upward trend, traders optimistic about growth.",positive,266.9766540527344,270.7733459472656,265.5233459472656,268.5733337402344,268.5733337402344,66060000.0,0.4491525423728814,0.22176779661016952
2021-10-13,"- TSLA saw increased volatility amid global chip shortage concerns.
- Traders optimistic after strong Q3 delivery numbers.",positive,270.1566772460937,271.8033447265625,268.59332275390625,270.3599853515625,270.3599853515625,42360300.0,0.3333333333333333,0.16685119047619046
2021-10-14,"- TSLA stock rallied, investors optimistic about delivery numbers and sales growth.
- Elon Musk's tweets continued to influence stock volatility.",positive,271.8299865722656,273.4166564941406,271.1166687011719,272.7733459472656,272.7733459472656,36741600.0,0.40594059405940597,0.12851782178217822
2021-10-15,"- TSLA stock reaches all-time high, investors optimistic.
- Increased production forecasts bolster confidence.",positive,274.5799865722656,281.07000732421875,274.1166687011719,281.010009765625,281.010009765625,56773800.0,0.40131578947368424,0.1365703947368421
2021-10-16,"- TSLA hit record high, investors optimistic about future growth.
- Tesla's Full Self-Driving software beta roll-out boosts stock momentum.",positive,,,,,,,0.4533333333333333,0.17478133333333334
2021-10-17,"- TSLA continues strong performance, traders optimistic about Q3 earnings.
- Discussions on supply chain impacts, but sentiment remains high.",positive,,,,,,,0.37,0.307867
2021-10-18,"- TSLA announced record deliveries, boosting investor confidence.
- Stock price surged, traders optimistic about growth potential.",positive,283.92999267578125,291.7533264160156,283.8233337402344,290.03668212890625,290.03668212890625,72621600.0,0.42657342657342656,0.21766013986013985
2021-10-19,"- TSLA stock surged reaching new record highs.
- Strong Q3 earnings anticipation fueled positive sentiment.",positive,292.510009765625,292.6499938964844,287.5033264160156,288.0899963378906,288.0899963378906,52143300.0,0.20388349514563106,0.15193883495145633
2021-10-20,"- TSLA stock surged due to strong Q3 earnings beat.
- Traders bullish, anticipate more growth amid EV demand.",positive,288.45001220703125,289.8299865722656,285.7933349609375,288.6000061035156,288.6000061035156,42096300.0,0.4065934065934066,0.13724285714285714
2021-10-21,"- TSLA's Q3 earnings exceeded Wall Street expectations.
- Stock hits new all-time high following earnings report.",positive,285.3333435058594,300.0,285.1666564941406,298.0,298.0,94444500.0,0.46745562130177515,0.19691715976331364
2021-10-22,"- TSLA stock hits new all-time high.
- Strong Q3 earnings fuel investor optimism.",positive,298.5,303.3333435058594,296.9866638183594,303.2266540527344,303.2266540527344,68642400.0,0.6424242424242425,0.23502545454545457
2021-10-23,"- TSLA stock hit new highs amid strong Q3 earnings.
- Hertz announced a massive order of 100,000 Teslas.",positive,,,,,,,0.39655172413793105,0.23998793103448277
2021-10-24,"- TSLA reported strong Q3 earnings, surpassing Wall Street expectations.
- Hertz announced a massive order of 100,000 Teslas, boosting investor confidence.",positive,,,,,,,0.410958904109589,0.26036712328767125
2021-10-25,"- TSLA stock hit record high, surpassing $1 trillion market cap.
- Hertz announced a massive order of 100,000 Tesla vehicles.",positive,316.84332275390625,348.3399963378906,314.7333374023437,341.6199951171875,341.6199951171875,188556300.0,0.593186372745491,0.24140420841683366
2021-10-26,"- TSLA reached a record high, surpassing a $1 trillion market valuation.
- Hertz announced a large order of 100,000 Teslas, boosting investor confidence.",positive,341.5633239746094,364.9800109863281,333.8133239746094,339.4766540527344,339.4766540527344,187245000.0,0.3253588516746411,0.15469425837320575
2021-10-27,"- TSLA hit record high, surpassing $1,000 per share.
- Hertz announced a large purchase of 100,000 Tesla vehicles.",positive,346.5533447265625,356.9599914550781,343.59332275390625,345.9533386230469,345.9533386230469,115579500.0,0.38922155688622756,0.1433131736526946
2021-10-28,"- TSLA stock hits all-time high, surpassing $1,000 mark.
- Hertz announced large order of 100,000 Teslas, boosting investor confidence.",positive,356.10333251953125,360.3333435058594,351.3999938964844,359.0133361816406,359.0133361816406,81639600.0,0.544,0.217504
2021-10-29,"- TSLA stock hit record highs following strong Q3 earnings report.
- Hertz announced large order of 100,000 Tesla vehicles, boosting sentiment.",positive,360.6199951171875,371.7366638183594,357.7366638183594,371.3333435058594,371.3333435058594,89755200.0,0.40106951871657753,0.1555561497326203
2021-10-30,"- TSLA stock hits all-time high after Hertz orders 100,000 Teslas.
- Market sentiment is strong; investors optimistic about EV future.",positive,,,,,,,0.38144329896907214,0.37133195876288655
2021-10-31,"- TSLA reached a record market value, exceeding $1 trillion.
- Hertz announced a significant order for 100,000 Teslas.",positive,,,,,,,0.47058823529411764,0.30697450980392155
2021-11-01,"- TSLA stock hit all-time high, surpassing $1,200 per share.
- Hertz announced a large order of 100,000 Tesla vehicles.",positive,381.6666564941406,403.25,372.88665771484375,402.86334228515625,402.86334228515625,168146100.0,0.35294117647058826,0.21816948529411764
2021-11-02,"- TSLA stock hit record high following Hertz order for 100,000 Teslas.
- Musk polled Twitter about selling 10% of his Tesla stock.",positive,386.4533386230469,402.86334228515625,382.0,390.6666564941406,390.6666564941406,128213400.0,0.26262626262626265,0.19932878787878788
2021-11-03,"- TSLA stock price reached an all-time high.
- Elon Musk polled Twitter about selling 10% of his TSLA shares.",negative,392.4433288574219,405.1300048828125,384.2066650390625,404.6199951171875,404.6199951171875,103885500.0,0.39669421487603307,0.11497438016528926
2021-11-04,"- Elon Musk proposed selling 10% of his TSLA stock via Twitter poll.
- TSLA stock experienced a significant drop following Musk's Twitter poll announcement.",negative,411.4700012207031,414.4966735839844,405.6666564941406,409.9700012207031,409.9700012207031,76192200.0,0.3333333333333333,0.24207533333333336
2021-11-05,"- TSLA stock experienced significant volatility due to Elon Musk's Twitter poll about selling 10% of his stock.
- Investors showed mixed reactions; some worried about potential sale impact on stock price.",negative,409.3333435058594,413.2900085449219,402.6666564941406,407.36334228515625,407.36334228515625,64886400.0,0.43820224719101125,0.2754707865168539
2021-11-06,"- Elon Musk proposed selling 10% of his TSLA stock via Twitter poll.
- Traders speculated on potential impact on TSLA's share price volatility.",negative,,,,,,,0.12931034482758622,0.21847413793103448
2021-11-07,"- Elon Musk proposed selling 10% of his TSLA stock via Twitter poll.
- Traders speculated on potential market impact, causing volatility in TSLA shares.",negative,,,,,,,0.13450292397660818,0.24878947368421053
2021-11-08,"- TSLA stock experienced significant volatility due to Elon Musk's Twitter poll.
- Concerns over potential Elon Musk stock sell-off impacted trader sentiment.",negative,383.2633361816406,399.0,377.6666564941406,387.6466674804688,387.6466674804688,100337100.0,0.17777777777777778,0.14308333333333334
2021-11-09,"- Elon Musk polled Twitter on selling 10% of his TSLA stock.
- TSLA stock dropped after Musk's Twitter poll on stock sale.",negative,391.2000122070313,391.5,337.17333984375,341.1666564941406,341.1666564941406,177317400.0,0.10328638497652583,0.15660845070422535
2021-11-10,"- Elon Musk proposed selling 10% of his Tesla stock via Twitter poll.
- Market response causes TSLA stock drop, investors react to potential sell-off.",negative,336.8033447265625,359.3666687011719,329.10333251953125,355.9833374023437,355.9833374023437,128408100.0,0.10679611650485436,0.2227742718446602
2021-11-11,"- CEO Elon Musk sold $5 billion worth of TSLA shares.
- Stock price experienced significant volatility.",negative,367.5899963378906,368.3233337402344,351.5599975585937,354.5033264160156,354.5033264160156,67189800.0,0.1864406779661017,0.25963050847457625
2021-11-12,"- Elon Musk sold about $5 billion of Tesla stock.
- Stock experienced volatility following Musk's Twitter poll regarding sale.",negative,349.1666564941406,351.5,339.7333374023437,344.47332763671875,344.47332763671875,76719300.0,0.17829457364341086,0.23154108527131784
2021-11-13,"- Elon Musk polled Twitter regarding selling 10% of his Tesla stock.
- Tesla stock experienced significant volatility following Musk's Twitter poll.",negative,,,,,,,0.34782608695652173,0.3199840579710145
2021-11-14,"- Tesla CEO Elon Musk polled Twitter about selling 10% of his stock.
- TSLA stock experiences volatility following Musk's tweet and investor reactions.",negative,,,,,,,0.10638297872340426,0.2101936170212766
2021-11-15,"- Tesla CEO Elon Musk sold $5 billion worth of TSLA stock.
- TSLA stock price sees a downturn, traders express concern over volatility.",negative,339.2099914550781,343.99334716796875,326.20001220703125,337.7966613769531,337.7966613769531,104326800.0,-0.037267080745341616,0.16447080745341616
2021-11-16,"- Elon Musk sold $5 billion of Tesla stock.
- Stock price decline amidst broader market concerns.",negative,334.4366760253906,352.3999938964844,334.0599975585937,351.57666015625,351.57666015625,79627200.0,0.21008403361344538,0.23155210084033614
